name,github,stars,last_commit,maturity,language,models,category,deployment,license,description,tags
AutoGPT,https://github.com/Significant-Gravitas/Auto-GPT,182933,2026-03-30,Production,Python,"GPT-4, Claude, Local LLMs",Autonomous,Cloud/Local,MIT,Accessible AI tools for building and using AI agents with comprehensive framework including Forge for agent creation,"Autonomous Agent, Framework, Multi-Modal"
LangChain,https://github.com/langchain-ai/langchain,131564,2026-03-30,Production,Python,"OpenAI, Anthropic, Azure, Local LLMs",Tool-Using/RAG,Cloud/Local,MIT,Framework for developing applications powered by language models with composability and tool integration,"Framework, Tool-Using Agent, RAG"
OpenDevin/OpenHands,https://github.com/All-Hands-AI/OpenHands,70164,2026-03-29,Beta,Python,"GPT-4, Claude, Gemini",Coding,Cloud/Local,MIT,Open-source AI software engineer designed to understand high-level coding tasks and execute them autonomously,"Coding Agent, Software Engineering, Autonomous Agent"
Open Interpreter,https://github.com/KillianLucas/open-interpreter,62932,2026-02-09,Production,Python,"GPT-4, Claude, Local LLMs",Coding,Local,AGPL-3.0,Coding agent enabling language models to execute code locally with natural-language computer interaction,"Coding Agent, Local Execution, Tool-Using Agent"
MetaGPT,https://github.com/geekan/MetaGPT,66424,2026-01-21,Beta,Python,"GPT-4, Claude",Multi-Agent,Cloud,MIT,Multi-agent framework enabling GPT to collaborate within a software company for complex tasks,"Multi-Agent, Software Engineering, Collaborative Agent"
GPT Engineer,https://github.com/gpt-engineer-org/gpt-engineer,55232,2025-05-14,Production,Python,"GPT-4, Claude",Coding,Cloud/Local,MIT,AI-powered tool for specifying software in natural language and automatically generating code,"Coding Agent, Natural Language Programming, Autonomous Agent"
Microsoft AutoGen,https://github.com/microsoft/autogen,56415,2026-03-29,Production,Python,"OpenAI, Azure OpenAI, Local LLMs",Multi-Agent,Cloud/Local,CC-BY-4.0,Multi-agent conversation framework for developing next-gen LLM applications with enhanced collaboration,"Multi-Agent, Conversation Framework, Microsoft"
LlamaIndex,https://github.com/run-llama/llama_index,48124,2026-03-28,Production,Python,"OpenAI, Anthropic, Local LLMs",RAG,Cloud/Local,MIT,Framework for building context-augmented generative AI applications with LLMs and data agents,"RAG Agent, Data Framework, Context-Augmented"
CrewAI,https://github.com/crewAIInc/crewAI,47542,2026-03-29,Beta,Python,"OpenAI, Anthropic, Groq",Multi-Agent,Cloud/Local,MIT,Cutting-edge framework for orchestrating role-playing autonomous AI agents with seamless collaboration,"Multi-Agent, Role-Playing, Orchestration"
AgentGPT,https://github.com/reworkd/AgentGPT,35903,2025-04-29,Beta,TypeScript,"OpenAI, Local LLMs",Autonomous,Cloud,GPL-3.0,Platform allowing users to configure and deploy autonomous AI agents for any desired goal,"Autonomous Agent, Web Platform, Goal-Oriented"
ChatDev,https://github.com/OpenBMB/ChatDev,32155,2026-03-23,Beta,Python,"GPT-4, Claude",Multi-Agent,Cloud,Apache-2.0,Virtual software company utilizing intelligent agents to revolutionize programming through collaboration,"Multi-Agent, Software Development, Virtual Company"
DSPy,https://github.com/stanfordnlp/dspy,33267,2026-03-27,Research,Python,"OpenAI, Anthropic, Local LLMs",Optimization,Cloud/Local,MIT,Framework for algorithmically optimizing LM prompts and weights in complex AI systems,"Prompt Engineering, Optimization Framework, Stanford Research"
Semantic Kernel,https://github.com/microsoft/semantic-kernel,27589,2026-03-29,Production,"C#, Python, Java","Azure OpenAI, OpenAI",Enterprise,Cloud,MIT,Model-agnostic SDK for building orchestrating and deploying AI agents and multi-agent systems,"Enterprise Framework, Multi-Language, Microsoft"
BabyAGI,https://github.com/yoheinakajima/babyagi,22212,2026-01-31,Research,Python,"OpenAI, Local LLMs",Planning,Local,MIT,AI-powered task management system creating prioritizing and executing tasks autonomously,"Task Management, Autonomous Agent, Planning Agent"
GPT Researcher,https://github.com/assafelovic/gpt-researcher,26112,2026-03-14,Production,Python,"OpenAI, Anthropic, Azure",Research,Cloud/Local,MIT,Autonomous agent for comprehensive online research generating detailed reports with citations,"Research Agent, Report Generation, Information Gathering"
Devika,https://github.com/stitionai/devika,19498,2025-09-25,Research,Python,"OpenAI, Claude, Gemini",Coding,Local,MIT,Open-source AI software engineer for understanding and executing high-level coding tasks,"Coding Agent, Software Engineering, Open Source Devin"
